Commodity,Path,Fraction,Quantity
1,CVG-ANC,1,3
2,CVG-ANC-LAX,1,2
3,CVG-EMA-LEJ,0.5,2
3,CVG-LEJ,0.5,2
4,CVG-HKG-ICN-PVG,1,3
5,ANC-PVG-BAH-EMA,1,1
6,ANC-HKG,1,2
7,LAX-ICN-HKG-DXB,1,1
8,LAX-ICN-LEJ-LOS,1,2
9,JFK-LEJ-BRU,1,3
10,JFK-LEJ-DEL,1,2
11,EMA-JFK,1,4
12,EMA-LEJ-DXB-HKG-ANC,1,1
13,EMA-BAH-BKK,1,2
14,EMA-BAH-PVG,1,1
15,LEJ-EMA-CVG,1,2
16,LEJ-DEL,1,1
17,LEJ-BAH-PVG,1,2
18,LEJ-BAH-SIN,1,1
19,BRU-LEJ-LOS,1,3
20,BRU-LEJ-ICN-LAX,1,2
21,BRU-BAH-BKK,1,1
22,LOS-LEJ-CVG,1,2
23,LOS-LEJ-DXB,1,2
24,BAH-EMA,1,3
25,DXB-HKG-ANC-CVG,1,2
26,DEL-SIN-BAH-PVG-ICN-LAX,0.5,2
26,DEL-LEJ-ICN-LAX,0.5,2
27,DEL-LEJ-JFK,1,3
28,DEL-SIN-BAH-PVG,1,4
29,ICN-PVG-BAH-LEJ,0.4,2
29,ICN-HKG-LEJ,0.2,1
29,ICN-HKG-DXB-LEJ,0.4,2
30,ICN-HKG-DXB,1,2
31,ICN-LEJ-LOS,1,3
32,ICN-ANC,1,2
33,PVG-BAH-EMA-JFK,0.25,1
33,PVG-BAH-LEJ-JFK,0.75,3
34,PVG-BAH-BRU,1,3
35,HKG-CVG,0.8,4
35,HKG-ANC-CVG,0.2,1
36,HKG-ICN,1,7
37,HKG-BAH-EMA,1,3
38,BKK-SIN-DEL-LEJ-EMA,0.5,2
38,BKK-BAH-EMA,0.5,2
39,BKK-BAH-PVG-ICN-LAX,0.4,2
39,BKK-BAH-PVG-ANC-LAX,0.6,3
40,SIN-DEL-LEJ-LOS,1,3
