Flight ORG DEST Departure Arrival Cost
AR1256 AEP GIG 1000 1195 13971.0358045421
AR1161 BCN EZE 860 230 20390.9332290603
AR1377 CCS EZE 980 1425 17403.9886734172
AR1921 CUN EZE 985 235 19539.1955105528
AR1920 EZE CUN 250 940 19539.1955105528
AR1376 EZE CCS 490 930 17352.3656149544
AR1322 EZE MIA 510 1060 18401.9518022085
AR1160 EZE BCN 1375 685 19976.9440942451
AR1302 EZE JFK 1380 605 19348.917653741
AR1304 EZE MIA 1395 505 18039.4965385819
AR1132 EZE MAD 1435 720 19797.6339849183
AR1293 GIG AEP 620 845 14526.9327599665
AR1303 JFK EZE 1030 245 18787.8447468159
AR1133 MAD EZE 970 310 20186.7041825148
AR1305 MIA EZE 630 1170 18313.1583586984
AR1323 MIA EZE 1180 280 18131.9729383541
