Flight ORG DEST Departure Arrival Cost
AR1832 AEP CRD 315 462 10758.8019090418
AR1864 AEP REL 320 445 10279.7509049277
AR1850 AEP RGL 330 529 11707.0805120552
AR1878 AEP USH 335 550 11962.5459516739
AR1700 AEP IGR 340 450 9912.66055227099
AR1892 AEP FTE 345 550 11804.505903862
AR1848 AEP RGA 380 595 11962.5459516739
AR1471 AEP TUC 385 500 10039.4021341655
AR1292 AEP GIG 400 585 11471.4056537583
AR1822 AEP SLA 410 545 10505.0603013367
AR1507 AEP COR 425 513 9286.77412071574
AR1600 AEP BHI 450 535 9190.39024027634
AR1830 AEP CRD 485 632 10758.8019090418
AR1653 AEP NQN 535 654 10137.5232506015
AR1671 AEP BRC 590 735 10717.6468615335
AR1454 AEP SLA 630 770 10612.8220639864
AR1816 AEP FTE 660 860 11723.4599669763
AR1252 AEP GIG 685 865 11384.1557924008
AR1684 AEP BRC 705 845 10612.8220639864
AR1659 AEP CPC 720 860 10612.8220639864
AR1677 AEP BRC 765 905 10612.8220639864
AR1460 AEP SLA 770 910 10612.8220639864
AR1679 AEP BRC 790 935 10717.6468615335
AR1844 AEP RGA 815 1030 11962.5459516739
AR1872 AEP FTE 840 1040 11723.4599669763
AR1456 AEP SLA 865 1005 10612.8220639864
AR1477 AEP TUC 875 995 10161.6278815648
AR1422 AEP MDZ 880 995 10039.4021341655
AR1683 AEP BRC 885 1030 10717.6468615335
AR1840 AEP CRD 935 1082 10758.8019090418
AR1890 AEP USH 955 1170 11962.5459516739
AR1731 AEP IGR 965 1075 9912.66055227099
AR1262 AEP ASU 985 1105 10161.6278815648
AR1410 AEP MDZ 1045 1160 10039.4021341655
AR1458 AEP SLA 1080 1215 10505.0603013367
AR1681 AEP BRC 1105 1250 10717.6468615335
AR1866 AEP REL 1135 1260 10279.7509049277
AR1689 AEP BRC 1150 1295 10717.6468615335
AR1820 AEP IGR 1175 1285 9912.66055227099
AR1408 AEP MDZ 1190 1305 10039.4021341655
AR1462 AEP TUC 1275 1395 10161.6278815648
AR1432 AEP MDZ 1305 1420 10039.4021341655
AR1824 AEP FTE 1320 80 11723.4599669763
AR1882 AEP RGL 1355 109 12548.4190181461
AR1261 ASU AEP 590 705 10039.4021341655
AR1263 ASU EZE 1140 1255 10039.4021341655
AR1642 BHI AEP 570 649 8987.02336145796
AR1361 BOG EZE 1250 190 13727.8383653278
AR1676 BRC AEP 610 733 10232.9701504347
AR1802 BRC ROS 655 803 10779.2196600277
